演员,关系,戏院
全班合演,演出于,燕喜堂
全班合演,演出于,消闲友会
全班合演,演出于,堂会义务戏戏单
福小田,演出于,大舞台
福小田,演出于,丹桂茶园
福小田,演出于,牡丹园春庆社
福小田,演出于,天乐茶园
福小田,演出于,文明茶园
福小田,演出于,吉祥茶园
福小田,演出于,同乐园松庆社
福小田,演出于,同乐茶园
朱德福,演出于,大舞台
朱德福,演出于,文明茶园
朱德福,演出于,吉祥园双庆社
朱德福,演出于,春仙茶园
钱文卿,演出于,大舞台
钱文卿,演出于,文明茶园
吴彩云,演出于,大舞台
吴彩云,演出于,吉祥园
九阵风,演出于,大舞台
九阵风,演出于,广和楼
九阵风,演出于,中和戏院
九阵风,演出于,文明茶园
九阵风,演出于,西安园
九阵风,演出于,景泰茶园
八仙旦,演出于,大舞台
八仙旦,演出于,庆升园
八仙旦,演出于,春仙茶园
八仙旦,演出于,景泰茶园
朱玉康,演出于,大舞台
朱玉康,演出于,丹桂茶园
杨孝芳,演出于,大舞台
杨孝芳,演出于,春仙茶园
方宝奎,演出于,大舞台
方宝奎,演出于,丹桂茶园
方宝奎,演出于,同乐园松庆社
方宝奎,演出于,庆乐园
方宝奎,演出于,庆乐茶园
方宝奎,演出于,春仙茶园
杨小朵,演出于,大舞台
杨小朵,演出于,丹桂茶园
杨小朵,演出于,春仙茶园
张毓庭,演出于,大舞台
朱幼芬,演出于,大舞台
朱幼芬,演出于,春仙茶园
朱幼芬,演出于,第一舞台
路三宝,演出于,大舞台
路三宝,演出于,天乐茶园
路三宝,演出于,吉祥园
路三宝,演出于,吉祥园双庆社
路三宝,演出于,景泰茶园
李春来,演出于,大舞台
李春来,演出于,丹桂茶园
沈杰林,演出于,大舞台
沈杰林,演出于,中和戏院
沈杰林,演出于,天乐茶园
沈杰林,演出于,长安大戏院
沈杰林,演出于,吉祥园
沈杰林,演出于,景泰茶园
张喜华,演出于,大舞台
张喜华,演出于,景泰茶园
何佩亭,演出于,大舞台
何佩亭,演出于,广和楼
何佩亭,演出于,文明茶园
何佩亭,演出于,吉祥园
郎德山,演出于,大舞台
郎德山,演出于,丹桂茶园
陆凤琴,演出于,大舞台
陆凤琴,演出于,广和楼
陆凤琴,演出于,吉祥大戏院
陆凤琴,演出于,吉祥茶园
陆凤琴,演出于,春仙茶园
陆凤琴,演出于,景泰茶园
杨翠凤,演出于,广乐茶园
杨翠凤,演出于,中和茶园
杨翠凤,演出于,庆升茶园
杨喜凤,演出于,广乐茶园
金凤琴,演出于,广乐茶园
律喜云,演出于,广乐茶园
律喜云,演出于,广德楼
律喜云,演出于,庆升茶园
李静云,演出于,广乐茶园
陈鸿寿,演出于,广乐茶园
陈鸿寿,演出于,吉祥茶园
陈鸿寿,演出于,吉祥园
小老虎,演出于,广乐茶园
小老虎,演出于,文明茶园
小老虎,演出于,吉祥茶园
小老虎,演出于,吉祥园
小老虎,演出于,西安园
小老虎,演出于,景泰茶园
小老虎,演出于,浙江温处助账义务戏
喜如,演出于,广乐茶园
喜如,演出于,春仙茶园
喜奎,演出于,广乐茶园
喜奎,演出于,春仙茶园
喜增,演出于,广乐茶园
喜增,演出于,春仙茶园
红菊芬,演出于,广乐茶园
谷金凤,演出于,广乐茶园
沈玉秋,演出于,广乐茶园
沈玉秋,演出于,丹桂茶园
沈玉秋,演出于,庆升园
沈玉秋,演出于,春仙茶园
小花猴,演出于,广乐茶园
小花猴,演出于,吉祥茶园
小花猴,演出于,吉祥园
小花猴,演出于,西安园
小花猴,演出于,春仙茶园
小小朵,演出于,广乐茶园
小小朵,演出于,天乐茶园
小小朵,演出于,文明茶园
小小朵,演出于,吉祥茶园
小瑞子,演出于,广乐茶园
小瑞子,演出于,吉祥茶园
小瑞子,演出于,歌舞台
小福喜,演出于,广乐茶园
小福喜,演出于,广兴茶园
小福喜,演出于,春仙茶园
方德奎,演出于,广乐茶园
方德奎,演出于,广兴茶园
方德奎,演出于,春仙茶园
诸茹香,演出于,广乐茶园
诸茹香,演出于,开明戏院
诸茹香,演出于,文明茶园
诸茹香,演出于,吉祥大戏院
诸茹香,演出于,春仙茶园
小筱朵,演出于,广乐茶园
周喜增,演出于,广乐茶园
周喜增,演出于,广德楼
周喜增,演出于,庆升茶园
周喜茹,演出于,广乐茶园
周喜茹,演出于,广德楼
小紫云,演出于,广乐茶园
小紫云,演出于,德泉戏园
刘翠喜,演出于,广乐茶园
刘翠喜,演出于,乐舞台
刘翠喜,演出于,福寿堂
陈洪寿,演出于,广乐茶园
陈洪寿,演出于,吉祥园
李凤楼,演出于,广乐茶园
全奎官,演出于,广乐茶园
全奎官,演出于,吉祥茶园
全奎官,演出于,吉祥园
全奎官,演出于,西安园
全奎官,演出于,春仙茶园
胖奎子,演出于,广乐茶园
胖奎子,演出于,吉祥园
玉娃娃,演出于,广乐茶园
玉娃娃,演出于,西安园
一斗金,演出于,广乐茶园
小春来,演出于,广乐茶园
小春来,演出于,文明茶园
小春来,演出于,吉祥茶园
小春来,演出于,吉祥园
小春来,演出于,春仙茶园
小春来,演出于,燕喜茶园
小春来,演出于,燕喜堂
刘宝峰,演出于,广乐茶园
刘宝峰,演出于,吉祥茶园
刘宝峰,演出于,吉祥园
刘宝峰,演出于,西安园
小桂芬,演出于,广乐茶园
小桂芬,演出于,广德楼
小桂芬,演出于,乐舞台
小桂芬,演出于,春仙茶园
小桂芬,演出于,消闲友会
杨玉楼,演出于,广乐茶园
杨玉楼,演出于,广德楼
杨玉楼,演出于,吉祥茶园
杨玉楼,演出于,吉祥园
杨玉楼,演出于,第一舞台
吴铁巷,演出于,广乐茶园
小福元,演出于,广乐茶园
小福元,演出于,吉祥茶园
小福元,演出于,吉祥园
小福元,演出于,西安园
小福元,演出于,春仙茶园
双燕飞,演出于,广乐茶园
大翠红,演出于,广乐茶园
金小芬,演出于,广乐茶园
王桂红,演出于,广乐茶园
王桂红,演出于,文明茶园
王桂红,演出于,乐舞台
金桂喜,演出于,广乐茶园
金桂芬,演出于,广乐茶园
金桂芬,演出于,广德楼
金桂芬,演出于,庆乐园
金桂芬,演出于,第一舞台
三麻子,演出于,广乐茶园
三麻子,演出于,吉祥茶园
三麻子,演出于,吉祥园
三麻子,演出于,春仙茶园
三麻子,演出于,景泰茶园
满洪保,演出于,广乐茶园
满洪保,演出于,春仙茶园
十三旦,演出于,广乐茶园
十三旦,演出于,广德楼
十三旦,演出于,丹桂茶园
十三旦,演出于,春仙茶园
熊点魁,演出于,广乐茶园
小小十三旦,演出于,广乐茶园
杨玉静,演出于,广乐茶园
一盏灯,演出于,广乐茶园
一盏灯,演出于,吉祥茶园
一盏灯,演出于,吉祥园
十二红,演出于,广乐茶园
十二红,演出于,广兴茶园
十二红,演出于,广德楼
十二红,演出于,乐舞台
十二红,演出于,春仙茶园
十二红,演出于,景泰茶园
十二红,演出于,浙江温处助账义务戏
盖陕西,演出于,广乐茶园
盖陕西,演出于,广兴茶园
薛俊甫,演出于,广乐茶园
薛俊甫,演出于,广兴茶园
薛俊甫,演出于,吉祥舞台
薛俊甫,演出于,歌舞台
薛俊甫,演出于,燕舞台
全武行,演出于,广乐茶园
全武行,演出于,广兴茶园
全武行,演出于,广和楼
全武行,演出于,广德楼
全武行,演出于,中华舞台
全武行,演出于,中和茶园
全武行,演出于,中和戏院
全武行,演出于,升平茶园
全武行,演出于,天乐茶园
全武行,演出于,华乐园
全武行,演出于,华乐戏院
全武行,演出于,开明戏院
全武行,演出于,文明茶园
全武行,演出于,乐舞台
全武行,演出于,吉祥大戏院
全武行,演出于,吉祥园双庆社
全武行,演出于,吉祥舞台
全武行,演出于,同乐茶园
全武行,演出于,同益茶园
全武行,演出于,庆升茶园
全武行,演出于,庆升园
全武行,演出于,庆乐茶园
全武行,演出于,庆乐园
全武行,演出于,庆乐戏园
全武行,演出于,庆乐戏院
全武行,演出于,西安园
全武行,演出于,哈尔飞戏院
全武行,演出于,春仙茶园
全武行,演出于,景泰茶园
全武行,演出于,新新戏院
全武行,演出于,歌舞台
全武行,演出于,魁华舞台
全武行,演出于,燕喜堂
全武行,演出于,燕舞台
全武行,演出于,消闲友会
全武行,演出于,堂会义务戏戏单
小玉卿,演出于,广兴茶园
小玉林,演出于,广兴茶园
李俊臣,演出于,广兴茶园
李俊臣,演出于,丹桂茶园
李俊臣,演出于,春仙茶园
朱殿卿,演出于,广兴茶园
王廷斌,演出于,广兴茶园
王廷斌,演出于,天乐茶园
孙小六,演出于,广兴茶园
孙小六,演出于,丹桂茶园
孙小六,演出于,文明茶园
孙小六,演出于,庆升茶园
钱玉得,演出于,广兴茶园
一千红,演出于,广兴茶园
一千红,演出于,丹桂茶园
一千红,演出于,春仙茶园
一千红,演出于,歌舞台
刘羲增,演出于,广兴茶园
刘羲增,演出于,歌舞台
刘羲增,演出于,燕喜茶园
冯黑灯,演出于,广兴茶园
冯黑灯,演出于,春仙茶园
董福熊,演出于,广兴茶园
陈玉森,演出于,广兴茶园
杜元庆,演出于,广兴茶园
杜元庆,演出于,歌舞台
李灵芝,演出于,广兴茶园
冰糖翠,演出于,广兴茶园
冰糖翠,演出于,丹桂茶园
冰糖翠,演出于,庆升园
马七十,演出于,广兴茶园
崔灵芝,演出于,广兴茶园
崔灵芝,演出于,丹桂茶园
崔灵芝,演出于,庆升园
崔灵芝,演出于,春仙茶园
崔灵芝,演出于,歌舞台
马全禄,演出于,广兴茶园
马全禄,演出于,丹桂茶园
马全禄,演出于,歌舞台
十三红,演出于,广兴茶园
十三红,演出于,丹桂茶园
于德芳,演出于,广兴茶园
于德芳,演出于,丹桂茶园
于德芳,演出于,吉祥舞台
于德芳,演出于,春仙茶园
于德芳,演出于,歌舞台
于德芳,演出于,燕舞台
麻穆子,演出于,广兴茶园
麻穆子,演出于,中华舞台
麻穆子,演出于,春仙茶园
李文瑞,演出于,广兴茶园
小旋风,演出于,广兴茶园
小旋风,演出于,广德楼
小旋风,演出于,春仙茶园
范来顺,演出于,广兴茶园
郭宝臣,演出于,广兴茶园
小金香,演出于,广兴茶园
小金香,演出于,中和茶园
小金香,演出于,福寿堂
小金香,演出于,燕喜茶园
小金香,演出于,燕喜堂
马少山,演出于,广兴茶园
于惠,演出于,广兴茶园
于惠,演出于,丹桂茶园
于惠,演出于,庆升园
于惠,演出于,春仙茶园
于惠,演出于,燕舞台
赵燕飞,演出于,广兴茶园
勾顺亮,演出于,广兴茶园
勾顺亮,演出于,歌舞台
八百黑,演出于,广兴茶园
八百黑,演出于,丹桂茶园
八百黑,演出于,春仙茶园
全社合演,演出于,广兴茶园
全社合演,演出于,文明茶园
全社合演,演出于,吉祥园双庆社
全社合演,演出于,消闲友会
杨翠喜,演出于,广兴茶园
杨翠玉,演出于,广兴茶园
刘隐云,演出于,广兴茶园
李金奎,演出于,广兴茶园
马素珍,演出于,广兴茶园
马素珍,演出于,第一舞台
王■秋,演出于,广兴茶园
金红霞,演出于,广兴茶园
小金翠,演出于,广兴茶园
小金翠,演出于,乐舞台
小金翠,演出于,庆升茶园
小金翠,演出于,春仙茶园
小金翠,演出于,第一舞台
小金翠,演出于,德泉戏园
小金翠,演出于,燕喜茶园
小金翠,演出于,燕喜堂
小黑翠,演出于,广兴茶园
金翠仙,演出于,广兴茶园
金翠仙,演出于,燕喜堂
金秀峰,演出于,广兴茶园
金秀峰,演出于,第一舞台
明月珍,演出于,广兴茶园
明月珍,演出于,广和楼
明月珍,演出于,中和茶园
明月珍,演出于,乐舞台
明月珍,演出于,春仙茶园
明月珍,演出于,第一舞台
明月珍,演出于,福寿堂
小桂红,演出于,广兴茶园
小桂红,演出于,中和茶园
小桂红,演出于,天和茶园
小桂红,演出于,乐舞台
小桂红,演出于,第一舞台
金玉琴,演出于,广兴茶园
牛兰芬,演出于,广兴茶园
牛兰芬,演出于,广德楼
小翠凤,演出于,广兴茶园
小翠凤,演出于,中和茶园
小翠凤,演出于,第一舞台
李鑫樵,演出于,广兴茶园
李鑫樵,演出于,吉祥茶园
李鑫樵,演出于,魁华舞台
李鑫樵,演出于,燕喜堂
李鑫樵,演出于,燕舞台
白福山,演出于,广和楼
王瑞森,演出于,广和楼
小占,演出于,广和楼
韦■峰,演出于,广和楼
锡阔山,演出于,广和楼
玉平,演出于,广和楼
李瑞林,演出于,广和楼
李瑞林,演出于,天乐茶园
李瑞林,演出于,景泰茶园
金秀山,演出于,广和楼
金秀山,演出于,春仙茶园
金秀山,演出于,景泰茶园
金仲林,演出于,广和楼
金仲林,演出于,景泰茶园
金少山,演出于,广和楼
金少山,演出于,文明茶园
金少山,演出于,吉祥园
金少山,演出于,春仙茶园
金少山,演出于,第一舞台
金少山,演出于,景泰茶园
金少山,演出于,新新大戏院
姚佩秋,演出于,广和楼
姚佩秋,演出于,庆升茶园
姚佩兰,演出于,广和楼
路凤琴,演出于,广和楼
萧长华,演出于,广和楼
萧长华,演出于,中和戏院
萧长华,演出于,中和大戏院
萧长华,演出于,吉祥大戏院
萧长华,演出于,庆升茶园
萧长华,演出于,第一舞台
萧长华,演出于,新新戏院
萧长华,演出于,消闲友会
闫兰亭,演出于,广和楼
闫兰亭,演出于,同乐园松庆社
刘顺亭,演出于,广和楼
朱幼分,演出于,广和楼
张玉峰,演出于,广和楼
张玉峰,演出于,天乐茶园
张玉峰,演出于,吉祥舞台
张玉峰,演出于,景泰茶园
张玉峰,演出于,歌舞台
张玉峰,演出于,燕舞台
梅荣齐,演出于,广和楼
刘鸿升,演出于,广和楼
刘鸿升,演出于,文明茶园
刘鸿升,演出于,第一舞台
文荣寿,演出于,广和楼
文荣寿,演出于,中华舞台
文荣寿,演出于,景泰茶园
朱天祥,演出于,广和楼
朱天祥,演出于,文明茶园
朱天祥,演出于,吉祥园
黄润浦,演出于,广和楼
黄润浦,演出于,春仙茶园
傅少山,演出于,广和楼
沈全奎,演出于,广和楼
沈全奎,演出于,庆升茶园
陈文起,演出于,广和楼
张宝芳,演出于,广和楼
张宝芳,演出于,天乐茶园
张宝芳,演出于,景泰茶园
张春山,演出于,广和楼
张春山,演出于,文明茶园
张春山,演出于,吉祥园
张春山,演出于,吉祥舞台
张春山,演出于,歌舞台
张春山,演出于,燕舞台
张玉平,演出于,广和楼
洛凤琴,演出于,广和楼
陆金贵,演出于,广和楼
小永春,演出于,广和楼
小永春,演出于,丹桂茶园
小永春,演出于,天乐茶园
小永春,演出于,春仙茶园
小永春,演出于,景泰茶园
小永春,演出于,消闲友会
普世亨,演出于,广和楼
普世亨,演出于,景泰茶园
刘兰芝,演出于,广和楼
刘兰芝,演出于,中和茶园
金凤奎,演出于,广和楼
金凤奎,演出于,中和茶园
金凤奎,演出于,燕喜堂
小艳芳,演出于,广和楼
小艳芳,演出于,春仙茶园
王小宝,演出于,广和楼
张玉仙,演出于,广和楼
金刚钻,演出于,广和楼
金刚钻,演出于,中和茶园
金香玉,演出于,广和楼
金香玉,演出于,广德楼
金香玉,演出于,中和茶园
金香玉,演出于,丹桂茶园
金香玉,演出于,西安园
金香玉,演出于,歌舞台
金香玉,演出于,福寿堂
陈巧玉,演出于,广和楼
张金红,演出于,广和楼
张金红,演出于,福寿堂
金月仙,演出于,广和楼
金月仙,演出于,中和茶园
金月仙,演出于,升平茶园
金月仙,演出于,文明茶园
